# Main file: DocKiril/output/output.csv
numIteration,tail,head,freeFlowCost,actualCost,capacity,flow
1,0,2,46,46,10559,0
1,0,4,147,147,7391,0
1,1,2,8,8,5279,0
1,1,4,158,158,14783,770
1,2,1,6,6,14783,0
1,2,7,106,106,10559,0
1,3,0,111,111,14783,0
1,3,32,424,424.005,16895,1600
1,4,5,19,19,29567,770
1,5,3,56,56,8447,0
1,5,14,581,581,29567,770
1,6,3,238,238.001,22175,1600
1,7,8,9,9,5279,0
1,7,9,62,62,10559,0
1,8,1,109,109.007,5279,770
1,8,30,814,814,5279,170
1,9,10,12,12.0018,5279,940
1,9,11,183,183,5279,0
1,10,8,60,60.0001,15839,940
1,10,9,12,12,5279,0
1,11,9,183,183.028,5279,940
1,11,12,41,41,5279,0
1,12,11,41,41.0062,5279,940
1,12,16,70,70,5279,0
1,13,6,396,396.002,22175,1600
1,13,14,26,26,5279,0
1,14,13,26,26,5279,190
1,14,17,137,137,29567,770
1,15,13,143,143,22175,1410
1,15,17,24,24,5279,0
1,16,12,70,70.0106,5279,940
1,16,18,56,56,5279,0
1,17,15,24,24,5279,0
1,17,19,49,49,5279,0
1,17,21,377,377,29567,770
1,18,16,56,56,5279,0
1,18,22,58,58,5279,0
1,19,17,49,49,5279,0
1,19,25,111,111,5279,0
1,20,16,104,104.016,5279,940
1,20,32,109,109.006,8447,1160
1,20,1351,57600,57600,45,0
1,21,15,519,519,5279,0
1,21,24,206,206,29567,770
1,22,18,58,58,5279,0
1,22,40,241,241,5279,0
1,23,15,577,577.001,22175,1410
1,23,24,18,20.7849,5279,5320
1,24,26,45,45,29567,770
1,24,50,281,324.475,5279,5320
1,25,19,111,111,5279,0
1,25,35,151,151,5279,0
1,26,23,65,65,5279,0
1,26,28,237,237.109,29567,6960
1,27,23,332,332.416,22175,6705
1,27,29,15,15,5279,0
1,28,23,393,393,5279,25
1,28,29,51,51.0666,29567,9030
1,29,31,642,642.836,29567,9025
1,29,64,268,268,5279,5
1,30,33,73,73,5279,170
1,30,42,133,133,5279,0
1,31,27,898,898.003,5279,375
1,31,41,261,261.427,29567,9555
1,31,1351,57600,57600,215,0
1,32,53,116,116.001,8447,715
1,32,113,450,450.003,25343,2045
1,33,14,366,366,5279,0
1,33,38,123,123,5279,170
1,34,31,58,58.0025,5279,690
1,35,14,305,305,5279,190
1,35,25,151,151,5279,0
1,36,4,494,494,16895,0
1,36,20,240,240.149,5279,1340
1,37,27,906,906.902,22175,6330
1,37,41,12,12.4548,7391,5240
1,38,14,361,361,5279,0
1,38,59,191,191,5279,170
1,39,35,58,58,5279,190
1,39,47,598,598,5279,0
1,40,22,241,241,5279,0
1,40,78,285,285,5279,0
1,41,43,59,59.3096,22175,9590
1,41,44,9,9.38042,7391,5385
1,41,1351,57600,58984.1,490,310
1,42,10,797,797,15839,0
1,42,77,203,203.001,5279,390
1,43,37,75,75.0228,5279,1120
1,43,57,330,332.916,22175,10925
1,44,34,309,309.004,5279,520
1,44,48,23,23.2167,7391,3700
1,44,56,79,79.0281,5279,1165
1,45,37,566,569.611,22175,10070
1,45,46,18,18.0006,5279,635
1,46,45,18,18.001,5279,735
1,46,52,41,41.0013,5279,635
1,46,70,307,309.293,22175,10475
1,47,21,260,260,5279,0
1,47,50,167,167,5279,0
1,48,34,297,297,5279,170
1,48,56,79,79.0825,5279,1525
1,48,81,244,252.832,5279,3700
1,49,33,139,139,5279,0
1,49,42,71,71,15839,390
1,50,51,10,10,5279,0
1,50,68,118,136.256,5279,5320
1,51,26,306,392.77,5279,6190
1,51,62,504,504,5279,0
1,52,46,41,41.0355,5279,1455
1,52,65,75,75.0024,5279,635
1,53,20,352,352.018,5279,715
1,53,54,17,17,8447,0
1,54,20,365,365,5279,0
1,54,75,147,147,5279,0
1,55,49,43,43,5279,0
1,55,77,130,130,5279,0
1,56,43,71,71.4981,5279,2455
1,56,94,554,554.197,5279,1165
1,57,58,30,30.1964,22175,10135
1,57,66,126,126.009,5279,790
1,58,37,579,579.002,5279,380
1,58,46,154,154.865,22175,9755
1,59,39,112,112,5279,0
1,59,85,476,476,5279,170
1,60,51,44,44.154,15839,6190
1,61,38,144,144,5279,0
1,61,49,125,125,21119,390
1,62,28,266,266.99,5279,2095
1,62,64,73,73,5279,0
1,63,58,86,86,5279,0
1,63,66,9,9,5279,185
1,64,82,154,154,5279,0
1,64,105,1040,1040,5279,5
1,65,52,75,75.0649,5279,1455
1,65,71,33,33,5279,185
1,66,63,9,9,5279,0
1,66,71,71,71.0073,5279,855
1,66,94,241,241.001,5279,360
1,67,45,308,309.888,22175,9970
1,67,70,20,20,5279,230
1,68,60,79,79.2764,15839,6190
1,68,74,48,48.0057,31679,5320
1,69,39,472,472,5279,100
1,69,72,19,19.7028,5279,3720
1,70,90,206,206.487,29567,10475
1,70,98,242,242,5279,230
1,71,63,71,71,5279,185
1,71,65,33,33.0065,5279,1005
1,72,80,68,68,5279,225
1,72,84,94,96.709,5279,3495
1,73,69,138,143.676,5279,3820
1,73,83,85,85,5279,0
1,74,68,48,48.0105,31679,6190
1,74,73,75,78.0846,5279,3820
1,74,83,105,105.008,31679,4715
1,75,54,147,147,5279,0
1,75,92,152,152,5279,0
1,76,74,124,124.928,5279,2495
1,77,101,256,256.001,5279,390
1,78,40,285,285,5279,0
1,78,92,131,131,5279,0
1,78,95,197,197,5279,0
1,79,76,61,61,5279,130
1,80,39,471,471,5279,90
1,80,85,41,41,5279,135
1,81,48,244,244.389,5279,1695
1,81,86,20,20.724,5279,3700
1,82,62,136,136.506,5279,2095
1,82,79,421,421,5279,130
1,83,74,105,105.036,31679,6910
1,83,91,183,183.001,5279,375
1,83,93,68,68.0016,31679,3535
1,83,1351,57600,7.6286e+06,110,1140
1,84,83,120,120.514,5279,2170
1,84,93,86,86.1075,5279,1595
1,84,1351,57600,57808.1,165,65
1,85,84,77,77,5279,170
1,85,108,236,236,5279,135
1,86,81,20,20.0319,5279,1695
1,86,106,219,234.007,5279,4340
1,87,67,206,207.383,22175,10200
1,87,90,20,20.2495,5279,2835
1,88,56,244,244.035,5279,930
1,88,86,82,82.0037,5279,695
