# Main file: Tests/SimpleProblem/output.csv
numIteration,tail,head,freeFlowCost,actualCost,capacity,flow
1,0,1,36,122.4,5,10
1,0,3,0,0,5,0
1,0,8,0,0,5,0
1,1,0,36,36,5,0
1,1,5,4,13.6,5,10
1,2,3,0,0,5,0
1,2,5,0,0,5,0
1,3,4,360,360,5,0
1,4,1,0,0,5,0
1,4,7,0,0,5,0
1,5,6,108,367.2,5,10
1,6,7,0,0,5,10
1,6,8,0,0,5,0
2,0,1,36,87.6124,5,8.79144
2,0,3,0,0,5,1.20856
2,0,8,0,0,5,0
2,1,0,36,36,5,0
2,1,5,4,9.73471,5,8.79144
2,2,3,0,0,5,0
2,2,5,0,0,5,0
2,3,4,360,360.184,5,1.20856
2,4,1,0,0,5,0
2,4,7,0,0,5,1.20856
2,5,6,108,262.837,5,8.79144
2,6,7,0,0,5,8.79144
2,6,8,0,0,5,0
3,0,1,36,87.6124,5,8.79144
3,0,3,0,0,5,1.20856
3,0,8,0,0,5,0
3,1,0,36,36,5,0
3,1,5,4,9.73471,5,8.79144
3,2,3,0,0,5,0
3,2,5,0,0,5,0
3,3,4,360,360.184,5,1.20856
3,4,1,0,0,5,0
3,4,7,0,0,5,1.20856
3,5,6,108,262.837,5,8.79144
3,6,7,0,0,5,8.79144
3,6,8,0,0,5,0
4,0,1,36,87.6124,5,8.79144
4,0,3,0,0,5,1.20856
4,0,8,0,0,5,0
4,1,0,36,36,5,0
4,1,5,4,9.73471,5,8.79144
4,2,3,0,0,5,0
4,2,5,0,0,5,0
4,3,4,360,360.184,5,1.20856
4,4,1,0,0,5,0
4,4,7,0,0,5,1.20856
4,5,6,108,262.837,5,8.79144
4,6,7,0,0,5,8.79144
4,6,8,0,0,5,0
5,0,1,36,87.6124,5,8.79144
5,0,3,0,0,5,1.20856
5,0,8,0,0,5,0
5,1,0,36,36,5,0
5,1,5,4,9.73471,5,8.79144
5,2,3,0,0,5,0
5,2,5,0,0,5,0
5,3,4,360,360.184,5,1.20856
5,4,1,0,0,5,0
5,4,7,0,0,5,1.20856
5,5,6,108,262.837,5,8.79144
5,6,7,0,0,5,8.79144
5,6,8,0,0,5,0
6,0,1,36,87.6124,5,8.79144
6,0,3,0,0,5,1.20856
6,0,8,0,0,5,0
6,1,0,36,36,5,0
6,1,5,4,9.73471,5,8.79144
6,2,3,0,0,5,0
6,2,5,0,0,5,0
6,3,4,360,360.184,5,1.20856
6,4,1,0,0,5,0
6,4,7,0,0,5,1.20856
6,5,6,108,262.837,5,8.79144
6,6,7,0,0,5,8.79144
6,6,8,0,0,5,0
7,0,1,36,87.6124,5,8.79144
7,0,3,0,0,5,1.20856
7,0,8,0,0,5,0
7,1,0,36,36,5,0
7,1,5,4,9.73471,5,8.79144
7,2,3,0,0,5,0
7,2,5,0,0,5,0
7,3,4,360,360.184,5,1.20856
7,4,1,0,0,5,0
7,4,7,0,0,5,1.20856
7,5,6,108,262.837,5,8.79144
7,6,7,0,0,5,8.79144
7,6,8,0,0,5,0
8,0,1,36,87.6124,5,8.79144
8,0,3,0,0,5,1.20856
8,0,8,0,0,5,0
8,1,0,36,36,5,0
8,1,5,4,9.73471,5,8.79144
8,2,3,0,0,5,0
8,2,5,0,0,5,0
8,3,4,360,360.184,5,1.20856
8,4,1,0,0,5,0
8,4,7,0,0,5,1.20856
8,5,6,108,262.837,5,8.79144
8,6,7,0,0,5,8.79144
