# Input graph: amod_fw/data/SimpleProblem/exp/1_0/graph.gr.bin
# OD-pairs: amod_fw/data/SimpleProblem/exp/1_0/od.csv
# Objective: UE
# Function: custom_bpr
# Shortest-path algo: ch
# Period of analysis: 1h
# Sampling intervals: [1@1]
# Preprocessing time: 0ms
iteration,sampling_interval,customization_time,query_time,line_search_time,total_time,avg_change,max_change,obj_function_value,total_travel_cost,checksum
1,1,0,0,0,0,nan,nan,0,5032,1480
2,1,0,0,0,0,1.43243,1.43243,0,3601.84,3600
3,1,0,0,0,0,0.00555556,0.00555556,0,3601.84,3580
4,1,0,0,0,0,0,0,0,3601.84,3580
5,1,0,0,0,0,0,0,0,3601.84,3580
6,1,0,0,0,0,0,0,0,3601.84,3580
7,1,0,0,0,0,0,0,0,3601.84,3580
8,1,0,0,0,0,0,0,0,3601.84,3580
9,1,0,0,0,0,0,0,0,3601.84,3580
10,1,0,0,0,0,0,0,0,3601.84,3580
11,1,0,0,0,0,0,0,0,3601.84,3580
12,1,0,0,0,0,0,0,0,3601.84,3580
13,1,0,0,0,0,0,0,0,3601.84,3580
14,1,0,0,0,0,0,0,0,3601.84,3580
15,1,0,0,0,0,0,0,0,3601.84,3580
16,1,0,0,0,0,0,0,0,3601.84,3580
17,1,0,0,0,0,0,0,0,3601.84,3580
18,1,0,0,0,0,0,0,0,3601.84,3580
19,1,0,0,0,0,0,0,0,3601.84,3580
20,1,0,0,0,0,0,0,0,3601.84,3580
