# Main file: Tests/SimpleProblem/2_0/output.csv
numIteration,tail,head,freeFlowCost,actualCost,capacity,flow
1,0,1,36,36,10,0
1,0,3,0,0,10,10
1,0,8,0,0,10,0
1,1,0,36,36,10,0
1,1,5,4,4,10,0
1,2,3,0,0,10,0
1,2,5,0,0,10,0
1,3,4,3600,4140,10,10
1,4,1,0,0,10,0
1,4,7,0,0,10,10
1,5,6,3600,3600,10,0
1,6,7,0,0,10,0
1,6,8,0,0,10,0
2,0,1,36,36.1797,10,4.27105
2,0,3,0,0,10,5.72895
2,0,8,0,0,10,0
2,1,0,36,36,10,0
2,1,5,4,4.01997,10,4.27105
2,2,3,0,0,10,0
2,2,5,0,0,10,0
2,3,4,3600,3658.17,10,5.72895
2,4,1,0,0,10,0
2,4,7,0,0,10,5.72895
2,5,6,3600,3617.97,10,4.27105
2,6,7,0,0,10,4.27105
2,6,8,0,0,10,0
3,0,1,36,36.1797,10,4.27106
3,0,3,0,0,10,5.72894
3,0,8,0,0,10,0
3,1,0,36,36,10,0
3,1,5,4,4.01997,10,4.27106
3,2,3,0,0,10,0
3,2,5,0,0,10,0
3,3,4,3600,3658.17,10,5.72894
3,4,1,0,0,10,0
3,4,7,0,0,10,5.72894
3,5,6,3600,3617.97,10,4.27106
3,6,7,0,0,10,4.27106
3,6,8,0,0,10,0
4,0,1,36,36.1797,10,4.27106
4,0,3,0,0,10,5.72894
4,0,8,0,0,10,0
4,1,0,36,36,10,0
4,1,5,4,4.01997,10,4.27106
4,2,3,0,0,10,0
4,2,5,0,0,10,0
4,3,4,3600,3658.17,10,5.72894
4,4,1,0,0,10,0
4,4,7,0,0,10,5.72894
4,5,6,3600,3617.97,10,4.27106
4,6,7,0,0,10,4.27106
4,6,8,0,0,10,0
5,0,1,36,36.1797,10,4.27106
5,0,3,0,0,10,5.72894
5,0,8,0,0,10,0
5,1,0,36,36,10,0
5,1,5,4,4.01997,10,4.27106
5,2,3,0,0,10,0
5,2,5,0,0,10,0
5,3,4,3600,3658.17,10,5.72894
5,4,1,0,0,10,0
5,4,7,0,0,10,5.72894
5,5,6,3600,3617.97,10,4.27106
5,6,7,0,0,10,4.27106
5,6,8,0,0,10,0
6,0,1,36,36.1797,10,4.27106
6,0,3,0,0,10,5.72894
6,0,8,0,0,10,0
6,1,0,36,36,10,0
6,1,5,4,4.01997,10,4.27106
6,2,3,0,0,10,0
6,2,5,0,0,10,0
