# Input graph: amod_fw/data/SimpleProblem/exp/2_0/graph.gr.bin
# OD-pairs: amod_fw/data/SimpleProblem/exp/2_0/od.csv
# Objective: UE
# Function: elastic
# Shortest-path algo: ch
# Period of analysis: 1h
# Sampling intervals: [1@1]
# Preprocessing time: 0ms
iteration,sampling_interval,customization_time,query_time,line_search_time,total_time,avg_change,max_change,obj_function_value,total_travel_cost,checksum
1,1,0,0,0,0,nan,nan,37080,41400,36000
2,1,0,0,0,0,0.0111111,0.0111111,36253,36581.7,36400
3,1,4,0,1,5,0.00467033,0.00467033,36253,36581.7,36570
4,1,0,0,0,0,0,0,36253,36581.7,36570
5,1,0,0,0,0,0,0,36253,36581.7,36570
6,1,0,0,0,0,0,0,36253,36581.7,36570
7,1,0,0,0,0,0,0,36253,36581.7,36570
8,1,0,0,0,0,0,0,36253,36581.7,36570
9,1,0,0,0,0,0,0,36253,36581.7,36570
10,1,0,0,0,0,0,0,36253,36581.7,36570
11,1,0,0,0,0,0,0,36253,36581.7,36570
12,1,0,0,0,0,0,0,36253,36581.7,36570
13,1,0,0,0,0,0,0,36253,36581.7,36570
14,1,0,0,0,0,0,0,36253,36581.7,36570
15,1,0,0,0,0,0,0,36253,36581.7,36570
16,1,0,0,0,0,0,0,36253,36581.7,36570
17,1,0,0,0,0,0,0,36253,36581.7,36570
18,1,0,0,0,0,0,0,36253,36581.7,36570
19,1,0,0,0,0,0,0,36253,36581.7,36570
20,1,0,0,0,0,0,0,36253,36581.7,36570
