# Main file: Tests/pb2/output.csv
numIteration,tail,head,freeFlowCost,actualCost,capacity,flow
1,0,1,36,41.4,10,10
1,0,3,0,0,10,0
1,0,8,0,0,10,0
1,0,12,4,84.2,3,10
1,1,0,36,41.4,10,10
1,1,5,4,516.2,1,10
1,1,10,0,0,10,0
1,1,15,0,0,10,0
1,2,3,0,0,10,0
1,2,5,0,90,10,0
1,2,6,0,270,10,10
1,3,4,360,360,10,0
1,4,1,0,0,10,0
1,4,7,0,0,10,0
1,5,6,360,324,10,10
1,6,7,0,0,10,10
1,6,8,0,36,10,10
1,9,10,0,0,10,0
1,9,12,0,90,10,0
1,9,13,0,270,10,10
1,10,11,360,360,10,0
1,11,0,0,0,10,0
1,11,14,0,0,10,0
1,12,13,360,324,10,10
1,13,14,0,0,10,10
1,13,15,0,36,10,10
2,0,1,36,36.1004,10,3.69294
2,0,3,0,0,10,6.30706
2,0,8,0,0,10,0
2,0,12,4,15.3777,3,3.69294
2,1,0,36,36.1004,10,3.69294
2,1,5,4,107.502,1,3.69294
2,1,10,0,0,10,6.30706
2,1,15,0,0,10,0
2,2,3,0,0,10,0
2,2,5,0,90,10,0
2,2,6,0,324,10,10
2,3,4,360,368.545,10,6.30706
2,4,1,0,0,10,0
2,4,7,0,0,10,6.30706
2,5,6,360,271.004,10,3.69294
2,6,7,0,0,10,3.69294
2,6,8,0,41.4,10,10
2,9,10,0,0,10,0
2,9,12,0,90,10,0
2,9,13,0,324,10,10
2,10,11,360,368.545,10,6.30706
2,11,0,0,0,10,0
2,11,14,0,0,10,6.30706
2,12,13,360,271.004,10,3.69294
2,13,14,0,0,10,3.69294
2,13,15,0,41.4,10,10
3,0,1,36,36.016,10,2.33197
3,0,3,0,0,10,7.66803
3,0,8,0,0,10,0
3,0,12,4,23.7112,3,6.01729
3,1,0,36,36.7079,10,6.01729
3,1,5,4,31.7437,1,2.33197
3,1,10,0,0,10,3.98271
3,1,15,0,0,10,0
3,2,3,0,0,10,0
3,2,5,0,90,10,0
3,2,6,0,271.004,10,10
3,3,4,360,378.669,10,7.66803
3,4,1,0,0,10,0
3,4,7,0,0,10,7.66803
3,5,6,360,270.16,10,2.33197
3,6,7,0,0,10,2.33197
3,6,8,0,36.1004,10,10
3,9,10,0,0,10,0
3,9,12,0,90,10,0
3,9,13,0,271.004,10,10
3,10,11,360,361.359,10,3.98271
3,11,0,0,0,10,0
3,11,14,0,0,10,3.98271
3,12,13,360,277.079,10,6.01729
3,13,14,0,0,10,6.01729
3,13,15,0,36.1004,10,10
4,0,1,36,36.0552,10,3.17963
4,0,3,0,0,10,6.82037
4,0,8,0,0,10,0
4,0,12,4,26.8807,3,6.45756
4,1,0,36,36.939,10,6.45756
4,1,5,4,74.2401,1,3.17963
4,1,10,0,0,10,3.54244
4,1,15,0,0,10,0
4,2,3,0,0,10,0
4,2,5,0,90,10,0
4,2,6,0,270.16,10,10
4,3,4,360,371.685,10,6.82037
4,4,1,0,0,10,0
4,4,7,0,0,10,6.82037
4,5,6,360,270.552,10,3.17963
4,6,7,0,0,10,3.17963
4,6,8,0,36.7079,10,10
4,9,10,0,0,10,0
4,9,12,0,90,10,0
4,9,13,0,277.079,10,10
4,10,11,360,360.85,10,3.54244
4,11,0,0,0,10,0
4,11,14,0,0,10,3.54244
4,12,13,360,279.39,10,6.45756
4,13,14,0,0,10,6.45756
4,13,15,0,36.016,10,10
5,0,1,36,36.0363,10,2.86417
5,0,3,0,0,10,7.13583
5,0,8,0,0,10,0
5,0,12,4,29.9223,3,6.80902
5,1,0,36,37.1607,10,6.80902
5,1,5,4,54.3779,1,2.86417
5,1,10,0,0,10,3.19098
5,1,15,0,0,10,0
5,2,3,0,0,10,0
5,2,5,0,90,10,0
5,2,6,0,270.552,10,10
5,3,4,360,374.001,10,7.13583
5,4,1,0,0,10,0
5,4,7,0,0,10,7.13583
5,5,6,360,270.363,10,2.86417
5,6,7,0,0,10,2.86417
5,6,8,0,36.939,10,10
5,9,10,0,0,10,0
5,9,12,0,90,10,0
5,9,13,0,279.39,10,10
5,10,11,360,360.56,10,3.19098
5,11,0,0,0,10,0
5,11,14,0,0,10,3.19098
5,12,13,360,281.607,10,6.80902
5,13,14,0,0,10,6.80902
5,13,15,0,36.0552,10,10
6,0,1,36,36.0508,10,3.11409
6,0,3,0,0,10,6.88591
6,0,8,0,0,10,0
6,0,12,4,30.9937,3,6.92079
6,1,0,36,37.2388,10,6.92079
6,1,5,4,69.9931,1,3.11409
6,1,10,0,0,10,3.07921
6,1,15,0,0,10,0
6,2,3,0,0,10,0
6,2,5,0,90,10,0
6,2,6,0,270.363,10,10
6,3,4,360,372.141,10,6.88591
6,4,1,0,0,10,0
6,4,7,0,0,10,6.88591
6,5,6,360,270.508,10,3.11409
6,6,7,0,0,10,3.11409
6,6,8,0,37.1607,10,10
6,9,10,0,0,10,0
6,9,12,0,90,10,0
6,9,13,0,281.607,10,10
6,10,11,360,360.485,10,3.07921
6,11,0,0,0,10,0
6,11,14,0,0,10,3.07921
6,12,13,360,282.388,10,6.92079
6,13,14,0,0,10,6.92079
6,13,15,0,36.0363,10,10
7,0,1,36,36.0414,10,2.9582
7,0,3,0,0,10,7.0418
7,0,8,0,0,10,0
7,0,12,4,32.5591,3,7.07494
7,1,0,36,37.353,10,7.07494
7,1,5,4,59.9472,1,2.9582
7,1,10,0,0,10,2.92506
7,1,15,0,0,10,0
7,2,3,0,0,10,0
7,2,5,0,90,10,0
7,2,6,0,270.508,10,10
7,3,4,360,373.278,10,7.0418
7,4,1,0,0,10,0
7,4,7,0,0,10,7.0418
7,5,6,360,270.414,10,2.9582
7,6,7,0,0,10,2.9582
7,6,8,0,37.2388,10,10
7,9,10,0,0,10,0
7,9,12,0,90,10,0
7,9,13,0,282.388,10,10
7,10,11,360,360.395,10,2.92506
7,11,0,0,0,10,0
7,11,14,0,0,10,2.92506
7,12,13,360,283.53,10,7.07494
7,13,14,0,0,10,7.07494
7,13,15,0,36.0508,10,10
8,0,1,36,36.049,10,3.0871
8,0,3,0,0,10,6.9129
8,0,8,0,0,10,0
8,0,12,4,33.1273,3,7.12848
8,1,0,36,37.3944,10,7.12848
8,1,5,4,68.244,1,3.0871
8,1,10,0,0,10,2.87152
8,1,15,0,0,10,0
8,2,3,0,0,10,0
8,2,5,0,90,10,0
8,2,6,0,270.414,10,10
8,3,4,360,372.332,10,6.9129
8,4,1,0,0,10,0
8,4,7,0,0,10,6.9129
8,5,6,360,270.49,10,3.0871
8,6,7,0,0,10,3.0871
8,6,8,0,37.353,10,10
8,9,10,0,0,10,0
8,9,12,0,90,10,0
