# Input graph: amod_fw/data/elastic_Pb2/exp/1_0/graph.gr.bin
# OD-pairs: amod_fw/data/elastic_Pb2/exp/1_0/od.csv
# Objective: UE
# Function: elastic
# Shortest-path algo: ch
# Period of analysis: 1h
# Sampling intervals: [1@1]
# Preprocessing time: 0ms
iteration,sampling_interval,customization_time,query_time,line_search_time,total_time,avg_change,max_change,obj_function_value,total_travel_cost,checksum
1,1,0,0,0,0,nan,nan,372205,779752,719920
2,1,0,0,1,1,0.0012522,0.00222717,360546,724685,720820
3,1,0,0,13,13,0.00810221,0.0106667,374252,728917,726660
4,1,0,0,3,3,0.00177652,0.003037,383660,729251,727950
5,1,0,0,4,4,0.00148301,0.00208551,392077,730439,728790
6,1,0,0,3,3,0.00111247,0.00214841,399114,730760,729600
7,1,0,0,6,6,0.00138358,0.00180525,405862,731799,730330
8,1,0,0,3,3,0.00100054,0.00198042,411409,732099,731040
9,1,0,0,2,2,0.00129872,0.00163648,417011,733023,731690
10,1,0,0,4,4,0.000957766,0.00192318,421534,733301,732350
11,1,0,0,4,4,0.00114659,0.00141674,424234,733991,732850
12,1,0,0,5,5,0.000859971,0.00157797,428690,734161,733340
13,1,0,0,4,4,0.00103428,0.00152232,431877,734452,733700
14,1,0,0,9,9,0.000952903,0.00136799,435832,735186,734400
15,1,0,0,1,1,0.00104602,0.00151827,438255,735434,734810
16,1,0,0,1,1,0.000760913,0.00114867,441583,736062,735350
17,1,0,0,2,2,0.000976671,0.0013523,443564,736279,735750
18,1,0,0,2,2,0.000651104,0.000929622,446370,736831,736210
19,1,0,0,3,3,0.000839529,0.00118746,448039,737024,736550
20,1,0,0,11,11,0.000582504,0.00082012,450430,737515,736960
21,1,0,0,3,3,0.00067641,0.00102288,450827,737581,737220
22,1,0,0,13,13,0.000338042,0.000752931,451650,737654,737410
23,1,0,0,1,1,0.000311538,0.000382576,453022,737928,737580
24,1,0,0,3,3,0.000459301,0.000645786,453808,738025,737780
25,1,0,0,3,3,0.00028396,0.000382576,454979,738276,737970
26,1,0,0,3,3,0.000377911,0.000537634,455682,738363,738130
27,1,0,0,4,4,0.000283823,0.000382555,456708,738589,738320
28,1,0,0,8,8,0.000350833,0.000483429,457331,738668,738460
29,1,0,0,8,8,0.000229766,0.000327887,458238,738871,738610
30,1,0,0,26,26,0.000310178,0.000429392,458791,738942,738740
31,1,0,0,4,4,0.000229668,0.000327869,459597,739125,738890
32,1,0,0,14,14,0.000296615,0.000428357,460089,739189,739010
33,1,0,0,3,3,0.000202532,0.000273209,460809,739355,739140
34,1,0,0,3,3,0.000256049,0.000374572,461251,739413,739250
35,1,0,0,2,2,0.00018906,0.000273194,461898,739563,739370
36,1,0,0,3,3,0.000242577,0.00032144,462296,739616,739470
37,1,0,0,3,3,0.000148585,0.000218543,462377,739685,739560
38,1,0,0,1,1,5.37694e-05,0.000106906,462237,739648,739560
39,1,0,0,14,14,0.000107865,0.000213789,462342,739666,739520
40,1,0,0,0,0,8.05046e-05,0.000213835,462256,739631,739560
41,1,0,0,1,1,8.10871e-05,0.000160342,462340,739666,739540
42,1,0,0,2,2,6.74346e-05,0.000160368,462240,739635,739570
43,1,0,0,3,3,8.04924e-05,0.000213789,462329,739648,739510
44,1,0,0,4,4,8.05053e-05,0.000213835,462236,739630,739570
45,1,0,0,7,7,6.71048e-05,0.000213789,462322,739643,739520
46,1,0,0,5,5,8.0825e-05,0.000160376,462240,739624,739560
47,1,0,0,0,0,0.00010816,0.000160351,462315,739657,739540
48,1,0,0,5,5,8.08235e-05,0.000160376,462203,739626,739560
49,1,0,0,4,4,8.07921e-05,0.000213801,462294,739639,739520
50,1,0,0,30,30,8.08035e-05,0.000213847,462200,739621,739560
51,1,0,0,15,15,8.07921e-05,0.000213801,462287,739634,739520
52,1,0,0,2,2,6.7142e-05,0.000160385,462195,739615,739550
53,1,0,0,1,1,6.71356e-05,0.000160359,462281,739628,739520
54,1,0,0,8,8,6.7142e-05,0.000160385,462190,739610,739550
55,1,0,0,0,0,6.71356e-05,0.000160359,462553,739657,739520
56,1,0,0,5,5,0.000162556,0.00021852,462657,739724,739580
57,1,0,0,7,7,6.74309e-05,0.000160359,462509,739682,739610
58,1,0,0,4,4,0.000148262,0.000267222,462617,739700,739540
59,1,0,0,10,10,0.000107284,0.000267294,462533,739665,739620
60,1,0,0,1,1,0.000107855,0.000213778,462613,739699,739560
61,1,0,0,8,8,5.37771e-05,0.000160368,462514,739669,739600
62,1,0,0,0,0,6.74259e-05,0.000160342,462600,739682,739570
